No.;Time;Source;Destination;Protocol;Length;Info
3141;157.235512;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2131/21256, ttl=128 (reply in 3146)
3146;157.356334;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2131/21256, ttl=42 (request in 3141)
3158;158.252474;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2132/21512, ttl=128 (reply in 3160)
3160;158.373467;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2132/21512, ttl=42 (request in 3158)
3167;159.278976;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2133/21768, ttl=128 (reply in 3170)
3170;159.399804;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2133/21768, ttl=42 (request in 3167)
3189;160.297656;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2134/22024, ttl=128 (reply in 3193)
3193;160.424162;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2134/22024, ttl=42 (request in 3189)
3201;161.323200;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2135/22280, ttl=128 (reply in 3203)
3203;161.452978;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2135/22280, ttl=42 (request in 3201)
3221;162.344077;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2136/22536, ttl=128 (reply in 3226)
3226;162.471209;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2136/22536, ttl=42 (request in 3221)
3280;163.363441;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2137/22792, ttl=128 (reply in 3289)
3289;163.501658;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2137/22792, ttl=42 (request in 3280)
3307;164.385253;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2138/23048, ttl=128 (reply in 3315)
3315;164.599504;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2138/23048, ttl=42 (request in 3307)
3321;165.405434;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2139/23304, ttl=128 (reply in 3322)
3322;165.507850;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2139/23304, ttl=42 (request in 3321)
